Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
What is the time complexity of inserting an element at the end of a dynamic array?,O(1),O(n),O(log n),O(n^2),A,Amortized time complexity for inserting at the end of a dynamic array is O(1).
Which data structure uses FIFO (First In First Out) principle?,Stack,Queue,Tree,Graph,B,Queue follows the FIFO principle for insertion and deletion.
What is the worst-case time complexity of Quick Sort?,O(n log n),O(n^2),O(n),O(log n),B,Worst-case time complexity of Quick Sort is O(n^2) when the pivot is poorly chosen.
Which of the following is a non-linear data structure?,Array,Linked List,Tree,Queue,C,Tree is a non-linear data structure as elements are arranged hierarchically.
What is the time complexity of searching in a balanced binary search tree?,O(1),O(n),O(log n),O(n log n),C,Searching in a balanced BST takes O(log n) time due to its height-balanced nature.
Which of the following is used to implement recursion?,Queue,Stack,Linked List,Tree,B,Stack is used to manage function calls and recursion.
What is the time complexity of inserting an element in a max-heap?,O(1),O(log n),O(n),O(n log n),B,Inserting in a max-heap takes O(log n) time due to heapify operations.
Which of the following is a divide and conquer algorithm?,Bubble Sort,Merge Sort,Insertion Sort,Selection Sort,B,Merge Sort divides the array into smaller parts and merges them in sorted order.
What is the space complexity of Merge Sort?,O(1),O(n),O(log n),O(n^2),B,Merge Sort requires O(n) additional space for merging subarrays.
Which data structure is used for implementing a priority queue?,Stack,Queue,Heap,Linked List,C,Heap is used to implement a priority queue efficiently.
What is the time complexity of deleting an element from a binary search tree?,O(1),O(log n),O(n),O(n log n),B,Deleting an element from a balanced BST takes O(log n) time.
Which of the following is a linear data structure?,Tree,Graph,Array,Heap,C,Array is a linear data structure as elements are stored sequentially.
What is the time complexity of Breadth-First Search (BFS) in a graph?,O(V + E),O(V),O(E),O(V log E),A,"BFS visits all vertices (V) and edges (E) once, so its time complexity is O(V + E)."
Which of the following is used to detect cycles in a graph?,BFS,DFS,Dijkstra's Algorithm,Prim's Algorithm,B,DFS can detect cycles by tracking visited nodes and recursion stack.
What is the time complexity of Dijkstra's algorithm using a binary heap?,O(V^2),O(E log V),O(V log V),O(E + V log V),D,Dijkstra's algorithm with a binary heap has a time complexity of O(E + V log V).
Which of the following is a stable sorting algorithm?,Quick Sort,Heap Sort,Merge Sort,Selection Sort,C,Merge Sort is stable as it preserves the relative order of equal elements.
