Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
What is the primary key in a relational database?,A unique identifier for each record,A foreign key in another table,A composite key,A candidate key,A,The primary key uniquely identifies each record in a table.
Which of the following is a type of relational algebra operation?,Selection,Join,Projection,All of the above,D,"Relational algebra includes operations like selection, join, and projection."
What is the purpose of normalization in a database?,To reduce redundancy,To increase redundancy,To complicate the schema,To decrease performance,A,Normalization reduces redundancy and improves data integrity.
Which of the following is a type of SQL join?,Inner Join,Outer Join,Cross Join,All of the above,D,"SQL supports inner, outer, and cross joins."
What is the purpose of an ER diagram?,To represent the logical structure of a database,To represent the physical structure of a database,To represent the network structure of a database,To represent the hierarchical structure of a database,A,ER diagrams represent the logical structure of a database using entities and relationships.
Which of the following is a type of integrity constraint?,Primary Key,Foreign Key,Unique Constraint,All of the above,D,"Integrity constraints include primary keys, foreign keys, and unique constraints."
What is the purpose of indexing in a database?,To improve query performance,To increase storage space,To complicate the schema,To decrease query performance,A,Indexing improves query performance by allowing faster data retrieval.
Which of the following is a type of file organization?,Heap File,Sequential File,Hash File,All of the above,D,"File organization types include heap, sequential, and hash files."
What is the purpose of a foreign key in a relational database?,To establish a relationship between tables,To uniquely identify a record,To enforce data integrity,To create a composite key,A,A foreign key establishes a relationship between two tables.
Which of the following is a type of SQL command?,SELECT,INSERT,UPDATE,All of the above,D,"SQL commands include SELECT, INSERT, and UPDATE."
What is the purpose of a data warehouse?,To store historical data for analysis,To store transactional data,To store temporary data,To store metadata,A,A data warehouse stores historical data for analysis and reporting.
Which of the following is a type of normalization?,1NF,2NF,3NF,All of the above,D,"Normalization includes 1NF, 2NF, and 3NF."
What is the purpose of a candidate key in a relational database?,To uniquely identify a record,To establish a relationship between tables,To enforce data integrity,To create a composite key,A,A candidate key uniquely identifies a record in a table.
Which of the following is a type of SQL constraint?,NOT NULL,CHECK,DEFAULT,All of the above,D,"SQL constraints include NOT NULL, CHECK, and DEFAULT."
What is the purpose of a view in a database?,To provide a virtual table based on a query,To store physical data,To enforce data integrity,To create a composite key,A,A view provides a virtual table based on a SQL query.
Which of the following is a type of indexing?,B-tree,Hash,Bitmap,All of the above,D,"Indexing types include B-tree, hash, and bitmap."
What is the purpose of a stored procedure in a database?,To encapsulate SQL logic for reuse,To store physical data,To enforce data integrity,To create a composite key,A,A stored procedure encapsulates SQL logic for reuse.
Which of the following is a type of SQL transaction command?,COMMIT,ROLLBACK,SAVEPOINT,All of the above,D,"SQL transaction commands include COMMIT, ROLLBACK, and SAVEPOINT."
What is the purpose of a trigger in a database?,To automatically execute SQL logic when an event occurs,To store physical data,To enforce data integrity,To create a composite key,A,A trigger automatically executes SQL logic when an event occurs.
Which of the following is a type of data warehousing schema?,Star Schema,Snowflake Schema,Galaxy Schema,All of the above,D,"Data warehousing schemas include star, snowflake, and galaxy schemas."
What is the purpose of a fact table in a data warehouse?,To store quantitative data for analysis,To store metadata,To store temporary data,To store transactional data,A,A fact table stores quantitative data for analysis.
Which of the following is a type of SQL aggregate function?,COUNT,SUM,AVG,All of the above,D,"SQL aggregate functions include COUNT, SUM, and AVG."
